"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US01001","Autauga County, Alabama","55200","*****"
"0500000US01003","Baldwin County, Alabama","208107","*****"
"0500000US01005","Barbour County, Alabama","25782","*****"
"0500000US01007","Bibb County, Alabama","22527","*****"
"0500000US01009","Blount County, Alabama","57645","*****"
"0500000US01011","Bullock County, Alabama","10352","*****"
"0500000US01013","Butler County, Alabama","20025","*****"
"0500000US01015","Calhoun County, Alabama","115098","*****"
"0500000US01017","Chambers County, Alabama","33826","*****"
"0500000US01019","Cherokee County, Alabama","25853","*****"
"0500000US01021","Chilton County, Alabama","43930","*****"
"0500000US01023","Choctaw County, Alabama","13075","*****"
"0500000US01025","Clarke County, Alabama","24387","*****"
"0500000US01027","Clay County, Alabama","13378","*****"
"0500000US01029","Cleburne County, Alabama","14938","*****"
"0500000US01031","Coffee County, Alabama","51288","*****"
"0500000US01033","Colbert County, Alabama","54495","*****"
"0500000US01035","Conecuh County, Alabama","12514","*****"
"0500000US01037","Coosa County, Alabama","10855","*****"
"0500000US01039","Covington County, Alabama","37351","*****"
"0500000US01041","Crenshaw County, Alabama","13865","*****"
"0500000US01043","Cullman County, Alabama","82313","*****"
"0500000US01045","Dale County, Alabama","49255","*****"
"0500000US01047","Dallas County, Alabama","40029","*****"
"0500000US01049","DeKalb County, Alabama","71200","*****"
"0500000US01051","Elmore County, Alabama","81212","*****"
"0500000US01053","Escambia County, Alabama","37328","*****"
"0500000US01055","Etowah County, Alabama","102939","*****"
"0500000US01057","Fayette County, Alabama","16585","*****"
"0500000US01059","Franklin County, Alabama","31542","*****"
"0500000US01061","Geneva County, Alabama","26491","*****"
"0500000US01063","Greene County, Alabama","8426","*****"
"0500000US01065","Hale County, Alabama","14887","*****"
"0500000US01067","Henry County, Alabama","17124","*****"
"0500000US01069","Houston County, Alabama","104352","*****"
"0500000US01071","Jackson County, Alabama","52094","*****"
"0500000US01073","Jefferson County, Alabama","659892","*****"
"0500000US01075","Lamar County, Alabama","13933","*****"
"0500000US01077","Lauderdale County, Alabama","92585","*****"
"0500000US01079","Lawrence County, Alabama","33171","*****"
"0500000US01081","Lee County, Alabama","159287","*****"
"0500000US01083","Limestone County, Alabama","93052","*****"
"0500000US01085","Lowndes County, Alabama","10236","*****"
"0500000US01087","Macon County, Alabama","19054","*****"
"0500000US01089","Madison County, Alabama","357560","*****"
"0500000US01091","Marengo County, Alabama","19538","*****"
"0500000US01093","Marion County, Alabama","29965","*****"
"0500000US01095","Marshall County, Alabama","95145","*****"
"0500000US01097","Mobile County, Alabama","414659","*****"
"0500000US01099","Monroe County, Alabama","21512","*****"
"0500000US01101","Montgomery County, Alabama","226941","*****"
"0500000US01103","Morgan County, Alabama","119122","*****"
"0500000US01105","Perry County, Alabama","9486","*****"
"0500000US01107","Pickens County, Alabama","20298","*****"
"0500000US01109","Pike County, Alabama","33403","*****"
"0500000US01111","Randolph County, Alabama","22574","*****"
"0500000US01113","Russell County, Alabama","58213","*****"
"0500000US01115","St. Clair County, Alabama","87306","*****"
"0500000US01117","Shelby County, Alabama","211261","*****"
"0500000US01119","Sumter County, Alabama","12985","*****"
"0500000US01121","Talladega County, Alabama","80565","*****"
"0500000US01123","Tallapoosa County, Alabama","40636","*****"
"0500000US01125","Tuscaloosa County, Alabama","206213","*****"
"0500000US01127","Walker County, Alabama","64493","*****"
"0500000US01129","Washington County, Alabama","16643","*****"
"0500000US01131","Wilcox County, Alabama","10809","*****"
"0500000US01133","Winston County, Alabama","23875","*****"
"0500000US02013","Aleutians East Borough, Alaska","3425","*****"
"0500000US02016","Aleutians West Census Area, Alaska","5750","*****"
"0500000US02020","Anchorage Municipality, Alaska","296112","*****"
"0500000US02050","Bethel Census Area, Alaska","18040","*****"
"0500000US02070","Dillingham Census Area, Alaska","4975","*****"
"0500000US02090","Fairbanks North Star Borough, Alaska","99653","*****"
"0500000US02100","Haines Borough, Alaska","2518","*****"
"0500000US02105","Hoonah-Angoon Census Area, Alaska","2132","*****"
"0500000US02110","Juneau City and Borough, Alaska","32330","*****"
"0500000US02122","Kenai Peninsula Borough, Alaska","58220","*****"
"0500000US02130","Ketchikan Gateway Borough, Alaska","13804","*****"
"0500000US02150","Kodiak Island Borough, Alaska","13649","*****"
"0500000US02158","Kusilvak Census Area, Alaska","8198","*****"
"0500000US02170","Matanuska-Susitna Borough, Alaska","103464","*****"
"0500000US02180","Nome Census Area, Alaska","9925","*****"
"0500000US02185","North Slope Borough, Alaska","9797","*****"
"0500000US02188","Northwest Arctic Borough, Alaska","7734","*****"
"0500000US02195","Petersburg Borough, Alaska","3255","*****"
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","6474","*****"
"0500000US02220","Sitka City and Borough, Alaska","8738","*****"
"0500000US02240","Southeast Fairbanks Census Area, Alaska","6876","*****"
"0500000US02261","Valdez-Cordova Census Area, Alaska","9301","*****"
"0500000US02275","Wrangell City and Borough, Alaska","2484","*****"
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","5415","*****"
"0500000US04001","Apache County, Arizona","71522","*****"
"0500000US04003","Cochise County, Arizona","126279","*****"
"0500000US04005","Coconino County, Arizona","140217","*****"
"0500000US04007","Gila County, Arizona","53400","*****"
"0500000US04009","Graham County, Arizona","37879","*****"
"0500000US04011","Greenlee County, Arizona","9504","*****"
"0500000US04012","La Paz County, Arizona","20701","*****"
"0500000US04013","Maricopa County, Arizona","4253913","*****"
"0500000US04015","Mohave County, Arizona","206064","*****"
"0500000US04017","Navajo County, Arizona","108705","*****"
"0500000US04019","Pima County, Arizona","1019722","*****"
"0500000US04021","Pinal County, Arizona","419721","*****"
"0500000US04023","Santa Cruz County, Arizona","46584","*****"
"0500000US04025","Yavapai County, Arizona","224645","*****"
"0500000US04027","Yuma County, Arizona","207829","*****"
"0500000US05001","Arkansas County, Arkansas","18124","*****"
"0500000US05003","Ashley County, Arkansas","20537","*****"
"0500000US05005","Baxter County, Arkansas","41219","*****"
"0500000US05007","Benton County, Arkansas","258980","*****"
"0500000US05009","Boone County, Arkansas","37288","*****"
"0500000US05011","Bradley County, Arkansas","10948","*****"
"0500000US05013","Calhoun County, Arkansas","5202","*****"
"0500000US05015","Carroll County, Arkansas","27887","*****"
"0500000US05017","Chicot County, Arkansas","10826","*****"
"0500000US05019","Clark County, Arkansas","22385","*****"
"0500000US05021","Clay County, Arkansas","15061","*****"
"0500000US05023","Cleburne County, Arkansas","25230","*****"
"0500000US05025","Cleveland County, Arkansas","8226","*****"
"0500000US05027","Columbia County, Arkansas","23892","*****"
"0500000US05029","Conway County, Arkansas","20906","*****"
"0500000US05031","Craighead County, Arkansas","105701","*****"
"0500000US05033","Crawford County, Arkansas","62472","*****"
"0500000US05035","Crittenden County, Arkansas","49013","*****"
"0500000US05037","Cross County, Arkansas","16998","*****"
"0500000US05039","Dallas County, Arkansas","7432","*****"
"0500000US05041","Desha County, Arkansas","11887","*****"
"0500000US05043","Drew County, Arkansas","18502","*****"
"0500000US05045","Faulkner County, Arkansas","122416","*****"
"0500000US05047","Franklin County, Arkansas","17780","*****"
"0500000US05049","Fulton County, Arkansas","12139","*****"
"0500000US05051","Garland County, Arkansas","98296","*****"
"0500000US05053","Grant County, Arkansas","18086","*****"
"0500000US05055","Greene County, Arkansas","44623","*****"
"0500000US05057","Hempstead County, Arkansas","22018","*****"
"0500000US05059","Hot Spring County, Arkansas","33520","*****"
"0500000US05061","Howard County, Arkansas","13389","*****"
"0500000US05063","Independence County, Arkansas","37264","*****"
"0500000US05065","Izard County, Arkansas","13559","*****"
"0500000US05067","Jackson County, Arkansas","17225","*****"
"0500000US05069","Jefferson County, Arkansas","70424","*****"
"0500000US05071","Johnson County, Arkansas","26291","*****"
"0500000US05073","Lafayette County, Arkansas","6915","*****"
"0500000US05075","Lawrence County, Arkansas","16669","*****"
"0500000US05077","Lee County, Arkansas","9398","*****"
"0500000US05079","Lincoln County, Arkansas","13695","*****"
"0500000US05081","Little River County, Arkansas","12417","*****"
